holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,Vehicles,hour,weekday,is_weekend,signal_strategy,congestion
,288.44,0.0,0.0,90,Mist,mist,2015-11-04 12:00:00,5028,48,12,2,False,Extend Green Time,1
,288.44,0.0,0.0,90,Haze,haze,2015-11-04 14:00:00,5226,38,14,2,False,Extend Green Time,1
,288.44,0.0,0.0,90,Mist,mist,2015-11-04 14:00:00,5226,38,14,2,False,Extend Green Time,1
,288.48,0.0,0.0,90,Haze,haze,2015-11-04 16:00:00,6670,43,16,2,False,Extend Green Time,1
,288.58,0.0,0.0,90,Clouds,overcast clouds,2015-11-04 18:00:00,4523,39,18,2,False,Normal Operation,1
,288.62,0.0,0.0,90,Haze,haze,2015-11-04 20:00:00,2783,44,20,2,False,Normal Operation,0
,289.15,0.0,0.0,90,Clouds,overcast clouds,2015-11-04 22:00:00,1702,41,22,2,False,Normal Operation,0
,289.51,0.0,0.0,90,Clouds,overcast clouds,2015-11-04 23:00:00,1012,36,23,2,False,Normal Operation,0
,289.44,0.0,0.0,40,Clouds,scattered clouds,2015-11-05 01:00:00,358,30,1,3,False,Normal Operation,0
,289.51,0.0,0.0,1,Clear,sky is clear,2015-11-05 03:00:00,372,20,3,3,False,Normal Operation,0
,288.88,0.0,0.0,1,Haze,haze,2015-11-05 05:00:00,2940,19,5,3,False,Normal Operation,0
,288.21,0.0,0.0,75,Mist,mist,2015-11-05 07:00:00,6588,22,7,3,False,Extend Green Time,1
,288.21,0.0,0.0,75,Rain,moderate rain,2015-11-05 07:00:00,6588,22,7,3,False,Extend Green Time,1
,288.68,0.0,0.0,90,Clouds,overcast clouds,2015-11-05 09:00:00,5304,27,9,3,False,Extend Green Time,1
,289.62,0.0,0.0,90,Clouds,overcast clouds,2015-11-05 11:00:00,4814,37,11,3,False,Normal Operation,1
,290.99,0.0,0.0,90,Clouds,overcast clouds,2015-11-05 12:00:00,5039,42,12,3,False,Extend Green Time,1
,290.8,0.0,0.0,90,Rain,moderate rain,2015-11-05 14:00:00,5370,43,14,3,False,Extend Green Time,1
,286.76,0.0,0.0,90,Clouds,overcast clouds,2015-11-05 16:00:00,6743,35,16,3,False,Extend Green Time,1
,282.76,0.0,0.0,90,Clouds,overcast clouds,2015-11-05 18:00:00,4739,39,18,3,False,Normal Operation,1
,280.95,0.0,0.0,90,Clouds,overcast clouds,2015-11-05 20:00:00,2815,38,20,3,False,Normal Operation,0
,279.65,0.0,0.0,90,Clouds,overcast clouds,2015-11-05 22:00:00,3939,33,22,3,False,Normal Operation,0
,278.87,0.0,0.0,90,Clouds,overcast clouds,2015-11-05 23:00:00,1319,37,23,3,False,Normal Operation,0
,278.48,0.0,0.0,90,Clouds,overcast clouds,2015-11-06 01:00:00,381,29,1,4,False,Normal Operation,0
,278.42,0.0,0.0,90,Clouds,overcast clouds,2015-11-06 03:00:00,393,24,3,4,False,Normal Operation,0
,278.44,0.0,0.0,90,Clouds,overcast clouds,2015-11-06 05:00:00,2708,20,5,4,False,Normal Operation,0
,278.51,0.0,0.0,90,Clouds,overcast clouds,2015-11-06 07:00:00,6809,25,7,4,False,Extend Green Time,1
,278.58,0.0,0.0,90,Clouds,overcast clouds,2015-11-06 09:00:00,5087,34,9,4,False,Extend Green Time,1
,279.79,0.0,0.0,75,Clouds,broken clouds,2015-11-06 11:00:00,5179,43,11,4,False,Extend Green Time,1
,280.69,0.0,0.0,90,Clouds,overcast clouds,2015-11-06 12:00:00,5475,39,12,4,False,Extend Green Time,1
,280.73,0.0,0.0,90,Clouds,overcast clouds,2015-11-06 13:00:00,5226,29,13,4,False,Extend Green Time,1
,280.37,0.0,0.0,90,Drizzle,light intensity drizzle,2015-11-06 15:00:00,5872,36,15,4,False,Extend Green Time,1
,279.94,0.0,0.0,90,Clouds,overcast clouds,2015-11-06 17:00:00,6028,36,17,4,False,Extend Green Time,1
,278.73,0.0,0.0,1,Clear,sky is clear,2015-11-06 19:00:00,3515,37,19,4,False,Normal Operation,0
,277.02,0.0,0.0,75,Clouds,broken clouds,2015-11-06 21:00:00,2884,34,21,4,False,Normal Operation,0
,277.08,0.0,0.0,40,Clouds,scattered clouds,2015-11-06 23:00:00,1713,29,23,4,False,Normal Operation,0
,276.81,0.0,0.0,75,Clouds,broken clouds,2015-11-07 00:00:00,1100,24,0,5,True,Normal Operation,0
,276.49,0.0,0.0,40,Clouds,scattered clouds,2015-11-07 01:00:00,639,32,1,5,True,Normal Operation,0
,275.22,0.0,0.0,1,Clear,sky is clear,2015-11-07 04:00:00,376,22,4,5,True,Normal Operation,0
,273.75,0.0,0.0,1,Clear,sky is clear,2015-11-07 06:00:00,1256,16,6,5,True,Normal Operation,0
,273.22,0.0,0.0,5,Clear,sky is clear,2015-11-07 08:00:00,3047,20,8,5,True,Normal Operation,0
,276.48,0.0,0.0,5,Clear,sky is clear,2015-11-07 10:00:00,4024,28,10,5,True,Maintain Balanced Signal,1
,280.15,0.0,0.0,1,Clear,sky is clear,2015-11-07 12:00:00,4680,24,12,5,True,Maintain Balanced Signal,1
,281.79,0.0,0.0,40,Clouds,scattered clouds,2015-11-07 14:00:00,4490,26,14,5,True,Maintain Balanced Signal,1
,282.68,0.0,0.0,1,Clear,sky is clear,2015-11-07 16:00:00,4542,24,16,5,True,Maintain Balanced Signal,1
,279.42,0.0,0.0,1,Clear,sky is clear,2015-11-07 18:00:00,4209,21,18,5,True,Normal Operation,1
,277.42,0.0,0.0,1,Clear,sky is clear,2015-11-07 20:00:00,2794,32,20,5,True,Normal Operation,0
,276.88,0.0,0.0,1,Clear,sky is clear,2015-11-07 22:00:00,3601,29,22,5,True,Normal Operation,0
,276.95,0.0,0.0,1,Clear,sky is clear,2015-11-07 23:00:00,1999,26,23,5,True,Normal Operation,0
,277.5,0.0,0.0,1,Clear,sky is clear,2015-11-08 01:00:00,741,25,1,6,True,Normal Operation,0
,277.28,0.0,0.0,1,Clear,sky is clear,2015-11-08 02:00:00,589,21,2,6,True,Normal Operation,0
,277.79,0.0,0.0,1,Clear,sky is clear,2015-11-08 04:00:00,304,22,4,6,True,Normal Operation,0
,277.79,0.0,0.0,1,Clear,sky is clear,2015-11-08 06:00:00,802,18,6,6,True,Normal Operation,0
,278.15,0.0,0.0,5,Clear,sky is clear,2015-11-08 08:00:00,2181,21,8,6,True,Normal Operation,0
,281.86,0.0,0.0,1,Clear,sky is clear,2015-11-08 09:00:00,3159,23,9,6,True,Normal Operation,0
,286.08,0.0,0.0,1,Clear,sky is clear,2015-11-08 12:00:00,4235,28,12,6,True,Maintain Balanced Signal,1
,288.28,0.0,0.0,1,Clear,sky is clear,2015-11-08 13:00:00,3966,25,13,6,True,Maintain Balanced Signal,0
,288.41,0.0,0.0,5,Clear,sky is clear,2015-11-08 15:00:00,3933,22,15,6,True,Maintain Balanced Signal,0
,286.75,0.0,0.0,1,Clear,sky is clear,2015-11-08 17:00:00,3914,22,17,6,True,Maintain Balanced Signal,0
,283.94,0.0,0.0,1,Clear,sky is clear,2015-11-08 19:00:00,2922,27,19,6,True,Normal Operation,0
,282.88,0.0,0.0,5,Clear,sky is clear,2015-11-08 21:00:00,1931,32,21,6,True,Normal Operation,0
,281.43,0.0,0.0,1,Clear,sky is clear,2015-11-08 23:00:00,850,24,23,6,True,Normal Operation,0
,281.0,0.0,0.0,1,Clear,sky is clear,2015-11-09 00:00:00,465,23,0,0,False,Normal Operation,0
,280.57,0.0,0.0,1,Clear,sky is clear,2015-11-09 01:00:00,299,24,1,0,False,Normal Operation,0
,280.15,0.0,0.0,1,Clear,sky is clear,2015-11-09 03:00:00,329,22,3,0,False,Normal Operation,0
,279.75,0.0,0.0,1,Clear,sky is clear,2015-11-09 05:00:00,2845,22,5,0,False,Normal Operation,0
,279.15,0.0,0.0,5,Clear,sky is clear,2015-11-09 07:00:00,6514,21,7,0,False,Extend Green Time,1
,280.51,0.0,0.0,1,Clear,sky is clear,2015-11-09 09:00:00,4930,34,9,0,False,Normal Operation,1
,284.22,0.0,0.0,1,Clear,sky is clear,2015-11-09 11:00:00,4510,34,11,0,False,Normal Operation,1
,287.36,0.0,0.0,1,Clear,sky is clear,2015-11-09 12:00:00,4587,38,12,0,False,Normal Operation,1
,289.08,0.0,0.0,1,Clear,sky is clear,2015-11-09 14:00:00,5096,42,14,0,False,Extend Green Time,1
,289.55,0.0,0.0,5,Clear,sky is clear,2015-11-09 16:00:00,6319,31,16,0,False,Extend Green Time,1
,285.49,0.0,0.0,5,Clear,sky is clear,2015-11-09 18:00:00,4329,35,18,0,False,Normal Operation,1
,283.79,0.0,0.0,5,Clear,sky is clear,2015-11-09 20:00:00,2446,43,20,0,False,Normal Operation,0
,282.15,0.0,0.0,1,Clear,sky is clear,2015-11-09 22:00:00,1428,40,22,0,False,Normal Operation,0
,281.01,0.0,0.0,1,Clear,sky is clear,2015-11-09 23:00:00,931,40,23,0,False,Normal Operation,0
,280.02,0.0,0.0,1,Clear,sky is clear,2015-11-10 00:00:00,471,40,0,1,False,Normal Operation,0
,279.68,0.0,0.0,1,Clear,sky is clear,2015-11-10 01:00:00,317,36,1,1,False,Normal Operation,0
,279.01,0.0,0.0,1,Clear,sky is clear,2015-11-10 03:00:00,303,29,3,1,False,Normal Operation,0
,277.68,0.0,0.0,1,Clear,sky is clear,2015-11-10 05:00:00,2956,23,5,1,False,Normal Operation,0
,277.48,0.0,0.0,1,Clear,sky is clear,2015-11-10 07:00:00,6504,26,7,1,False,Extend Green Time,1
,279.08,0.0,0.0,1,Clear,sky is clear,2015-11-10 09:00:00,5176,47,9,1,False,Extend Green Time,1
,284.5,0.0,0.0,40,Clouds,scattered clouds,2015-11-10 11:00:00,4724,51,11,1,False,Extend Green Time,1
,287.68,0.0,0.0,40,Clouds,scattered clouds,2015-11-10 12:00:00,5030,44,12,1,False,Extend Green Time,1
,288.55,0.0,0.0,1,Clear,sky is clear,2015-11-10 14:00:00,5142,64,14,1,False,Extend Green Time,1
,288.15,0.0,0.0,75,Clouds,broken clouds,2015-11-10 16:00:00,6517,58,16,1,False,Extend Green Time,1
,285.15,0.0,0.0,1,Clear,sky is clear,2015-11-10 18:00:00,4646,53,18,1,False,Extend Green Time,1
,284.3,0.0,0.0,90,Clouds,overcast clouds,2015-11-10 20:00:00,2740,61,20,1,False,Extend Green Time,0
,283.88,0.0,0.0,75,Clouds,broken clouds,2015-11-10 22:00:00,3119,52,22,1,False,Extend Green Time,0
Veterans Day,283.35,0.0,0.0,75,Clouds,broken clouds,2015-11-11 00:00:00,559,48,0,2,False,Normal Operation,0
,280.94,0.0,0.0,1,Clear,sky is clear,2015-11-11 01:00:00,355,36,1,2,False,Normal Operation,0
,279.02,0.0,0.0,40,Clouds,scattered clouds,2015-11-11 04:00:00,881,32,4,2,False,Normal Operation,0
,277.76,0.0,0.0,1,Clear,sky is clear,2015-11-11 06:00:00,6049,27,6,2,False,Extend Green Time,1
,276.62,0.0,0.0,1,Mist,mist,2015-11-11 08:00:00,5409,30,8,2,False,Extend Green Time,1
,281.51,0.0,0.0,75,Clouds,broken clouds,2015-11-11 10:00:00,4551,41,10,2,False,Normal Operation,1
,283.79,0.0,0.0,75,Clouds,broken clouds,2015-11-11 12:00:00,4776,38,12,2,False,Normal Operation,1
,284.58,0.0,0.0,90,Rain,light rain,2015-11-11 14:00:00,5167,40,14,2,False,Extend Green Time,1
,284.58,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2015-11-11 14:00:00,5167,40,14,2,False,Extend Green Time,1
,284.08,0.0,0.0,90,Rain,light rain,2015-11-11 16:00:00,5310,32,16,2,False,Extend Green Time,1
,284.08,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2015-11-11 16:00:00,5310,32,16,2,False,Extend Green Time,1
,281.72,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2015-11-11 18:00:00,3533,41,18,2,False,Normal Operation,0
,281.72,0.0,0.0,90,Mist,mist,2015-11-11 18:00:00,3533,41,18,2,False,Normal Operation,0
,281.72,0.0,0.0,90,Rain,heavy intensity rain,2015-11-11 18:00:00,3533,41,18,2,False,Normal Operation,0
,281.72,0.0,0.0,90,Snow,snow,2015-11-11 18:00:00,3533,41,18,2,False,Normal Operation,0
,281.42,0.0,0.0,90,Rain,heavy intensity rain,2015-11-11 20:00:00,2340,37,20,2,False,Normal Operation,0
,281.42,0.0,0.0,90,Mist,mist,2015-11-11 20:00:00,2340,37,20,2,False,Normal Operation,0
,281.42,0.0,0.0,90,Thunderstorm,thunderstorm with rain,2015-11-11 20:00:00,2340,37,20,2,False,Normal Operation,0
,281.29,0.0,0.0,90,Rain,heavy intensity rain,2015-11-11 22:00:00,1430,35,22,2,False,Normal Operation,0
,281.29,0.0,0.0,90,Mist,mist,2015-11-11 22:00:00,1430,35,22,2,False,Normal Operation,0
,281.29,0.0,0.0,90,Drizzle,drizzle,2015-11-11 22:00:00,1430,35,22,2,False,Normal Operation,0
,280.72,0.0,0.0,90,Rain,moderate rain,2015-11-11 23:00:00,956,38,23,2,False,Normal Operation,0
,280.72,0.0,0.0,90,Mist,mist,2015-11-11 23:00:00,956,38,23,2,False,Normal Operation,0
,280.72,0.0,0.0,90,Drizzle,light intensity drizzle,2015-11-11 23:00:00,956,38,23,2,False,Normal Operation,0
,280.08,0.0,0.0,90,Rain,moderate rain,2015-11-12 01:00:00,293,34,1,3,False,Normal Operation,0
,280.08,0.0,0.0,90,Mist,mist,2015-11-12 01:00:00,293,34,1,3,False,Normal Operation,0
,280.08,0.0,0.0,90,Snow,light snow,2015-11-12 01:00:00,293,34,1,3,False,Normal Operation,0
,280.15,0.0,0.0,90,Rain,heavy intensity rain,2015-11-12 02:00:00,253,29,2,3,False,Normal Operation,0
,280.15,0.0,0.0,90,Mist,mist,2015-11-12 02:00:00,253,29,2,3,False,Normal Operation,0
,280.15,0.0,0.0,90,Drizzle,drizzle,2015-11-12 02:00:00,253,29,2,3,False,Normal Operation,0
,280.01,0.0,0.0,90,Rain,moderate rain,2015-11-12 04:00:00,872,24,4,3,False,Normal Operation,0
,280.01,0.0,0.0,90,Mist,mist,2015-11-12 04:00:00,872,24,4,3,False,Normal Operation,0
,280.01,0.0,0.0,90,Drizzle,drizzle,2015-11-12 04:00:00,872,24,4,3,False,Normal Operation,0
,278.89,0.0,0.0,90,Rain,moderate rain,2015-11-12 06:00:00,5719,23,6,3,False,Extend Green Time,1
,278.89,0.0,0.0,90,Mist,mist,2015-11-12 06:00:00,5719,23,6,3,False,Extend Green Time,1
,278.89,0.0,0.0,90,Drizzle,drizzle,2015-11-12 06:00:00,5719,23,6,3,False,Extend Green Time,1
,278.22,0.0,0.0,90,Drizzle,light intensity drizzle,2015-11-12 08:00:00,5789,24,8,3,False,Extend Green Time,1
,277.15,0.0,0.0,90,Clouds,overcast clouds,2015-11-12 10:00:00,4688,54,10,3,False,Extend Green Time,1
,277.51,0.0,0.0,75,Clouds,broken clouds,2015-11-12 12:00:00,5445,52,12,3,False,Extend Green Time,1
,278.09,0.0,0.0,90,Clouds,overcast clouds,2015-11-12 14:00:00,5500,47,14,3,False,Extend Green Time,1
,277.95,0.0,0.0,90,Clouds,overcast clouds,2015-11-12 16:00:00,6794,43,16,3,False,Extend Green Time,1
,277.8,0.0,0.0,90,Clouds,overcast clouds,2015-11-12 18:00:00,4655,48,18,3,False,Normal Operation,1
,276.42,0.0,0.0,90,Clouds,overcast clouds,2015-11-12 20:00:00,2924,54,20,3,False,Extend Green Time,0
,276.44,0.0,0.0,90,Clouds,overcast clouds,2015-11-12 22:00:00,1775,43,22,3,False,Normal Operation,0
,276.42,0.0,0.0,90,Clouds,overcast clouds,2015-11-13 00:00:00,485,37,0,4,False,Normal Operation,0
,275.82,0.0,0.0,75,Clouds,broken clouds,2015-11-13 02:00:00,257,31,2,4,False,Normal Operation,0
,274.87,0.0,0.0,1,Clear,sky is clear,2015-11-13 04:00:00,877,24,4,4,False,Normal Operation,0
,274.01,0.0,0.0,1,Clear,sky is clear,2015-11-13 06:00:00,5927,22,6,4,False,Extend Green Time,1
,273.28,0.0,0.0,1,Clear,sky is clear,2015-11-13 08:00:00,5600,26,8,4,False,Extend Green Time,1
,274.87,0.0,0.0,1,Clear,sky is clear,2015-11-13 10:00:00,4486,36,10,4,False,Normal Operation,1
,277.86,0.0,0.0,40,Clouds,scattered clouds,2015-11-13 12:00:00,4960,40,12,4,False,Normal Operation,1
,279.55,0.0,0.0,1,Clear,sky is clear,2015-11-13 14:00:00,5226,39,14,4,False,Extend Green Time,1
,279.69,0.0,0.0,1,Clear,sky is clear,2015-11-13 16:00:00,6235,36,16,4,False,Extend Green Time,1
,276.29,0.0,0.0,5,Clear,sky is clear,2015-11-13 18:00:00,4291,37,18,4,False,Normal Operation,1
,273.63,0.0,0.0,1,Clear,sky is clear,2015-11-13 20:00:00,2612,43,20,4,False,Normal Operation,0
,272.95,0.0,0.0,1,Clear,sky is clear,2015-11-13 22:00:00,1938,41,22,4,False,Normal Operation,0
,273.29,0.0,0.0,1,Clear,sky is clear,2015-11-13 23:00:00,1054,32,23,4,False,Normal Operation,0
,272.93,0.0,0.0,1,Clear,sky is clear,2015-11-14 01:00:00,717,30,1,5,True,Normal Operation,0
,273.41,0.0,0.0,1,Clear,sky is clear,2015-11-14 02:00:00,609,30,2,5,True,Normal Operation,0
,273.36,0.0,0.0,1,Clear,sky is clear,2015-11-14 03:00:00,427,25,3,5,True,Normal Operation,0
,274.65,0.0,0.0,1,Clear,sky is clear,2015-11-14 04:00:00,425,19,4,5,True,Normal Operation,0
,274.65,0.0,0.0,1,Clear,sky is clear,2015-11-14 06:00:00,1302,22,6,5,True,Normal Operation,0
,274.72,0.0,0.0,1,Clear,sky is clear,2015-11-14 08:00:00,3256,21,8,5,True,Normal Operation,0
,277.43,0.0,0.0,1,Clear,sky is clear,2015-11-14 10:00:00,4406,28,10,5,True,Maintain Balanced Signal,1
,281.44,0.0,0.0,1,Clear,sky is clear,2015-11-14 12:00:00,5069,25,12,5,True,Extend Green Time,1
,284.55,0.0,0.0,1,Clear,sky is clear,2015-11-14 13:00:00,4864,21,13,5,True,Maintain Balanced Signal,1
,285.15,0.0,0.0,1,Clear,sky is clear,2015-11-14 14:00:00,5050,25,14,5,True,Extend Green Time,1
,285.87,0.0,0.0,1,Clear,sky is clear,2015-11-14 16:00:00,5322,24,16,5,True,Extend Green Time,1
,283.09,0.0,0.0,1,Clear,sky is clear,2015-11-14 18:00:00,4660,29,18,5,True,Normal Operation,1
,280.43,0.0,0.0,5,Clear,sky is clear,2015-11-14 20:00:00,2937,30,20,5,True,Normal Operation,0
,280.58,0.0,0.0,1,Clear,sky is clear,2015-11-14 22:00:00,3125,27,22,5,True,Normal Operation,0
,278.43,0.0,0.0,1,Mist,mist,2015-11-15 00:00:00,1398,29,0,6,True,Normal Operation,0
,277.94,0.0,0.0,1,Mist,mist,2015-11-15 02:00:00,678,22,2,6,True,Normal Operation,0
,277.29,0.0,0.0,1,Mist,mist,2015-11-15 03:00:00,374,20,3,6,True,Normal Operation,0
,276.72,0.0,0.0,1,Mist,mist,2015-11-15 04:00:00,304,17,4,6,True,Normal Operation,0
,277.01,0.0,0.0,1,Mist,mist,2015-11-15 05:00:00,486,15,5,6,True,Normal Operation,0
,277.01,0.0,0.0,1,Fog,fog,2015-11-15 05:00:00,486,15,5,6,True,Normal Operation,0
,277.15,0.0,0.0,5,Mist,mist,2015-11-15 06:00:00,842,16,6,6,True,Normal Operation,0
,277.01,0.0,0.0,1,Mist,mist,2015-11-15 07:00:00,1218,19,7,6,True,Normal Operation,0
,279.22,0.0,0.0,5,Clear,sky is clear,2015-11-15 08:00:00,2033,22,8,6,True,Normal Operation,0
,281.08,0.0,0.0,1,Clear,sky is clear,2015-11-15 09:00:00,2969,27,9,6,True,Normal Operation,0
,283.69,0.0,0.0,1,Clear,sky is clear,2015-11-15 11:00:00,4334,23,11,6,True,Maintain Balanced Signal,1
,286.65,0.0,0.0,1,Clear,sky is clear,2015-11-15 12:00:00,4674,27,12,6,True,Maintain Balanced Signal,1
,288.42,0.0,0.0,5,Clear,sky is clear,2015-11-15 14:00:00,4642,26,14,6,True,Maintain Balanced Signal,1
,289.44,0.0,0.0,1,Clear,sky is clear,2015-11-15 16:00:00,4727,19,16,6,True,Maintain Balanced Signal,1
,285.51,0.0,0.0,1,Clear,sky is clear,2015-11-15 18:00:00,3661,29,18,6,True,Normal Operation,0
,283.42,0.0,0.0,1,Clear,sky is clear,2015-11-15 20:00:00,2483,32,20,6,True,Normal Operation,0
,282.93,0.0,0.0,75,Clouds,broken clouds,2015-11-15 22:00:00,1395,27,22,6,True,Normal Operation,0
,284.79,0.0,0.0,90,Clouds,overcast clouds,2015-11-16 02:00:00,237,20,2,0,False,Normal Operation,0
,284.79,0.0,0.0,90,Clouds,overcast clouds,2015-11-16 03:00:00,307,25,3,0,False,Normal Operation,0
,284.42,0.0,0.0,90,Mist,mist,2015-11-16 04:00:00,844,21,4,0,False,Normal Operation,0
,284.51,0.0,0.0,90,Mist,mist,2015-11-16 05:00:00,2836,21,5,0,False,Normal Operation,0
,284.65,0.0,0.0,90,Thunderstorm,thunderstorm,2015-11-16 07:00:00,6089,24,7,0,False,Extend Green Time,1
,284.65,0.0,0.0,90,Rain,moderate rain,2015-11-16 07:00:00,6089,24,7,0,False,Extend Green Time,1
,283.36,0.0,0.0,90,Rain,moderate rain,2015-11-16 09:00:00,4636,26,9,0,False,Normal Operation,1
,283.36,0.0,0.0,90,Drizzle,light intensity drizzle,2015-11-16 09:00:00,4636,26,9,0,False,Normal Operation,1
,281.92,0.0,0.0,90,Rain,moderate rain,2015-11-16 11:00:00,4306,38,11,0,False,Normal Operation,1
,281.92,0.0,0.0,90,Drizzle,drizzle,2015-11-16 11:00:00,4306,38,11,0,False,Normal Operation,1
,281.72,0.0,0.0,90,Rain,moderate rain,2015-11-16 13:00:00,4716,36,13,0,False,Normal Operation,1
